plex	channel	sample	sample_name	condition	replicate
01CPTAC_PDA_Proteome_JHU_20191125	126	pool	pool	pool	1
01CPTAC_PDA_Proteome_JHU_20191125	127N	QC1	QC1	QC1	1
01CPTAC_PDA_Proteome_JHU_20191125	127C	CPT0237840004	CPT0237840004	CPT0237840004	1
01CPTAC_PDA_Proteome_JHU_20191125	128N	CPT0063990003	CPT0063990003	CPT0063990003	1
01CPTAC_PDA_Proteome_JHU_20191125	128C	CPT0166780004	CPT0166780004	CPT0166780004	1
01CPTAC_PDA_Proteome_JHU_20191125	129N	C3L-01687-04	C3L-01687-04	C3L-01687-04	1
01CPTAC_PDA_Proteome_JHU_20191125	129C	CPT0166760004	CPT0166760004	CPT0166760004	1
01CPTAC_PDA_Proteome_JHU_20191125	130N	CPT0094630004	CPT0094630004	CPT0094630004	1
01CPTAC_PDA_Proteome_JHU_20191125	130C	CPT0063970004	CPT0063970004	CPT0063970004	1
01CPTAC_PDA_Proteome_JHU_20191125	131N	CPT0237850004	CPT0237850004	CPT0237850004	1
01CPTAC_PDA_Proteome_JHU_20191125	131C	CPT0081260004	CPT0081260004	CPT0081260004	1
02CPTAC_PDA_Proteome_JHU_20191022	126	pool	pool	pool	1
02CPTAC_PDA_Proteome_JHU_20191022	127N	CPT0123990003	CPT0123990003	CPT0123990003	1
02CPTAC_PDA_Proteome_JHU_20191022	127C	CPT0166680004	CPT0166680004	CPT0166680004	1
02CPTAC_PDA_Proteome_JHU_20191022	128N	CPT0088840004	CPT0088840004	CPT0088840004	1
02CPTAC_PDA_Proteome_JHU_20191022	128C	CPT0198930003	CPT0198930003	CPT0198930003	1
02CPTAC_PDA_Proteome_JHU_20191022	129N	CPT0198420004	CPT0198420004	CPT0198420004	1
02CPTAC_PDA_Proteome_JHU_20191022	129C	CPT0198910005	CPT0198910005	CPT0198910005	1
02CPTAC_PDA_Proteome_JHU_20191022	130N	CPT0166650006	CPT0166650006	CPT0166650006	1
02CPTAC_PDA_Proteome_JHU_20191022	130C	CPT0198440004	CPT0198440004	CPT0198440004	1
02CPTAC_PDA_Proteome_JHU_20191022	131N	CPT0124000003	CPT0124000003	CPT0124000003	1
02CPTAC_PDA_Proteome_JHU_20191022	131C	CPT0093980004	CPT0093980004	CPT0093980004	1
03CPTAC_PDA_Proteome_JHU_20191111	126	pool	pool	pool	1
03CPTAC_PDA_Proteome_JHU_20191111	127N	CPT0238040005	CPT0238040005	CPT0238040005	1
